Queries, Returned rows, Average time(us), Minimum time, 25thPercentile, Median, 75thPercentile(us), 90thPercentile(us), Maximum 
q5_Values:customer_uncorrelated-500_Id:193,9,22394.3,21515,21590,21711,21803,28782,28782
q5_Values:customer_fd-1_Id:194,1001,25465.1,22945,23188,23857,28495,30854,30854
q5_Values:customer_fd-5_Id:195,201,23560.1,21895,21982,22132,22386,32590,32590
q5_Values:customer_fd-10_Id:196,201,23406.6,21769,21882,21939,22295,29574,29574
q5_Values:customer_fd-50_Id:197,41,23067.3,21485,21572,21722,21828,35707,35707
q5_Values:customer_fd-100_Id:198,21,22239.3,21489,21522,21630,21725,27719,27719
q5_Values:customer_fd-250_Id:199,9,22739.5,21404,21505,21716,22127,31675,31675
q5_Values:customer_fd-500_Id:200,5,22692.5,21543,21634,21707,22134,30799,30799
q6_Values:customer-500-500_Id:201,73123,63262.7,61163,61257,61369,61639,80078,80078
q6_Values:customer-500-525_Id:202,70779,60150.1,59359,59505,59806,59911,62493,62493
q6_Values:customer-500-550_Id:203,67560,57434.4,56958,57077,57324,57491,59066,59066
q6_Values:customer_uncorrelated-500-500_Id:204,37470,42109.6,40817,41039,41224,41582,50060,50060
q6_Values:customer_uncorrelated-500-525_Id:205,35614,39711.6,39279,39415,39834,39994,40145,40145
q6_Values:customer_uncorrelated-500-550_Id:206,33706,38429.1,38157,38196,38470,38535,38816,38816
q6_Values:customer_fd-500-500_Id:207,75012,67176.1,64330,64567,64951,65058,88512,88512
q6_Values:customer_fd-500-525_Id:208,75012,64733.5,64116,64261,64940,65083,65262,65262
q6_Values:customer_fd-500-550_Id:209,71248,61765.3,61417,61578,61837,61905,62123,62123
q7_Value:customer_Id:210,25,25650.9,24102,24296,24361,24450,37350,37350
q7_Value:customer_largerNation_Id:211,23731,36812.0,34442,34548,34823,34976,45727,45727
q7_Value:customer_smallerNation_Id:212,2501,30599.3,28938,29013,29724,30687,38822,38822
q8_Value:customer_Id:213,150000,56677.0,54517,54595,55084,55403,65901,65901
q8_Value:customerNonDistinct_Id:214,75001,83100.7,36723,36991,37647,182797,192674,192674
q8_Value:customerUnique_Id:215,150000,25221.2,23915,23958,24253,25441,32557,32557
q9_Values:customer-%Cust%omer#000000%_Id:216,999,36563.5,35747,35756,35915,36054,42493,42493
q9_Values:customer-%5%_Id:217,58147,51409.0,50312,50419,50705,50798,58980,58980
q9_Values:customer-%00_Id:218,1500,47937.0,46834,46910,47178,47368,55643,55643
q9_Values:customer_nameShortened-%Cust%omer#000000%_Id:219,0,29303.0,28271,28400,28482,28615,36757,36757
q9_Values:customer_nameShortened-%5%_Id:220,58147,41972.3,40924,40969,41066,41460,49382,49382
q9_Values:customer_nameShortened-%00_Id:221,1500,39199.2,37912,38032,38107,38303,49091,49091
q10_Values:customer-%regular%_Id:222,49322,124769.0,122720,123090,123412,123564,138309,138309
q10_Values:customer-%ace%_Id:223,226,110646.3,109980,110133,110340,111009,112790,112790
q10_Values:customer_commentShortened-%regular%_Id:224,26293,75589.6,73888,74064,74239,74772,87229,87229
q10_Values:customer_commentShortened-%ace%_Id:225,112,69014.2,67532,67613,67818,68059,79299,79299
q10_Values:customer_commentFixedSize-%regular%_Id:226,49322,156168.9,155373,155432,155676,156712,158809,158809
q10_Values:customer_commentFixedSize-%ace%_Id:227,226,157331.7,156062,156511,156756,156993,163356,163356
q10_Values:customerExtendedComment-%regular%_Id:228,49322,132386.1,130365,130843,131104,131325,142219,142219
q10_Values:customerExtendedComment-%ace%_Id:229,226,125706.3,124786,124804,124903,125109,132482,132482
q10_Values:customerExtendedComment2-%regular%_Id:230,49322,147844.3,138167,138617,140916,160451,163269,163269
q10_Values:customerExtendedComment2-%ace%_Id:231,226,136502.4,136029,136162,136391,136438,138525,138525
q10_Values:customerExtendedCommentFixedSize-%regular%_Id:232,49322,156463.2,155456,155580,155934,156058,162311,162311
q10_Values:customerExtendedCommentFixedSize-%ace%_Id:233,226,159175.8,157552,157727,158002,158188,170377,170377
q10_Values:customerExtendedCommentFixedSize2-%regular%_Id:234,49322,163386.9,155142,155368,156247,174836,182790,182790
q10_Values:customerExtendedCommentFixedSize2-%ace%_Id:235,226,159913.0,158327,158391,158589,158627,172545,172545
q10_Values:customer_ShortenedcommentFixedSize-%regular%_Id:236,26293,150641.0,146447,146855,147508,147908,175641,175641
q10_Values:customer_ShortenedcommentFixedSize-%ace%_Id:237,112,152400.1,151206,151279,151590,151911,160532,160532
q11_Values:Customer-750_Id:238,749,14500.8,13025,13156,13360,13937,24499,24499
q11_Values:customerClusteredIndex-750_Id:239,749,1227.2,1193,1199,1219,1234,1318,1318
q11_Values:customerNonClusteredIndex-750_Id:240,749,2741.2,2679,2699,2728,2731,2921,2921
q12_Values:CustomerClusteredIndex-7500-15000_Id:241,7499,2840.8,2792,2819,2845,2855,2931,2931
q12_Values:CustomerClusteredIndex_custkeyNonDistinct-7500-15000_Id:242,697,1261.3,1234,1243,1259,1261,1333,1333
q13_Value:customer_char_Id:243,144337,108918.1,107084,107635,108101,108657,117226,117226
q13_Value:customer_charfd_Id:244,150000,112899.0,111215,111312,111662,112189,123692,123692
q13_Value:Customer_hexadecimal_Id:245,149864,114499.2,112953,113441,113746,114103,121908,121908
q13_Value:Customer_hexadecimalfd_Id:246,150000,115177.1,113432,114186,114530,114985,122380,122380
q13b_Value:customer_char_Id:247,144337,107064.8,105789,106416,106973,107206,110360,110360
q13b_Value:customer_charfd_Id:248,150000,110709.7,109783,109839,110167,110829,114077,114077
q13b_Value:Customer_hexadecimal_Id:249,149864,112662.8,111303,111591,111914,112282,119953,119953
q13b_Value:Customer_hexadecimalfd_Id:250,150000,112633.2,111023,111486,111895,112215,120779,120779
q16_Values:Customer-%ure_Id:251,29968,53447.9,51884,51933,52085,52365,65107,65107
q16_Values:customer_bloatedMktseg-%ure_Id:252,29913,66580.0,61597,66054,66430,66517,76244,76244
q16_Values:customer_bloated2Mktseg-%ure_Id:253,30192,52599.5,50944,51282,51477,51825,63237,63237
q17_Values:customer-Automobile_Id:254,29752,34626.8,34246,34444,34650,34778,35072,35072
q17_Values:customer_bloatedMktseg-3utomobile_Id:255,320,18433.9,14954,15036,15210,15501,47256,47256
q17_Values:customer_bloated2mktseg-394omobile_Id:256,26,15177.7,14117,14139,14274,14430,22798,22798
q17_Values:customer_numericmktseg-194734533_Id:257,29752,31871.4,30501,30636,30808,31198,41392,41392
q17_Values:customer_bloated2numericmktseg-194735759_Id:258,26,14445.9,13143,13251,13436,13628,22805,22805
q18_Value:Customer_Id:259,25,17583.0,15873,16376,16549,16765,25957,25957
q18_Value:customerFK_Id:260,25,18066.1,16211,16333,16840,17188,29941,29941
aq19_Values:Customer-10_Id:261,10,21198.6,19728,19737,19929,20091,32323,32323
aq19_Values:customerFK-10_Id:262,10,21176.7,19572,19810,19894,20113,32879,32879
q20_Values:Customer-10_Id:263,60077,62562.2,52240,52809,55619,73851,85870,85870
q20_Values:customerFK-10_Id:264,60077,53245.0,51712,51772,52062,52424,63357,63357
q21_Value:Customer_Id:265,150000,55998.7,54804,54996,55184,55497,63021,63021
q21_Value:customerClusteredIndex_Id:266,150000,37217.2,35768,35844,36128,36440,47581,47581
q21_Value:customerUnique_Id:267,150000,24111.5,23945,23968,24069,24229,24476,24476
q21_Value:customerPK_Id:268,150000,26846.8,25496,25570,25919,26150,35725,35725
q22_Value:customer_Id:269,75000,64671.9,63219,63533,63734,64027,73205,73205
q22_Value:customerClusteredIndex_Id:270,75000,62535.2,61354,61558,62020,62183,69235,69235
q22_Value:customerNonClusteredIndex_Id:271,75000,65131.4,63429,63993,64070,64478,74444,74444
q23_Values:customer-10000-15000-13_Id:272,208,15441.0,14206,14280,14429,14611,24637,24637
q23_Values:customerClusteredIndex-10000-15000-13_Id:273,208,1430.0,1386,1395,1424,1452,1527,1527
q23_Values:customerNonClusteredIndex-10000-15000-13_Id:274,208,16315.9,14702,14809,15011,15244,26883,26883
