Queries, Returned rows, Average time(us), Minimum time, 25thPercentile, Median, 75thPercentile(us), 90thPercentile(us), Maximum 
q3_Values:customer_acctbaluniform-50_Id:114,221,68819.6,68242,68467,69017,69126,69595,69595
q3_Values:customer_acctbaluniform-100_Id:115,111,68184.4,67592,67773,68368,68456,68940,68940
q3_Values:customer_acctbaluniform-250_Id:116,45,68433.7,67593,67639,68248,69210,70231,70231
q3_Values:customer_acctbaluniform-500_Id:117,23,68369.4,67274,67504,67762,68492,71259,71259
q3_Values:customer_acctbaluniform-1000_Id:118,12,68134.7,67310,67617,67799,68207,70496,70496
q3_Values:customer_acctbaluniform-10000_Id:119,2,68319.6,67428,67655,68133,68849,70501,70501
q3_Values:customer_acctbalzipf-1_Id:120,11001,83224.0,82017,82478,83235,83494,84890,84890
q3_Values:customer_acctbalzipf-5_Id:121,2201,73714.0,72156,72329,72919,74418,80030,80030
q3_Values:customer_acctbalzipf-10_Id:122,1101,71536.9,70843,70912,71553,71775,72700,72700
q3_Values:customer_acctbalzipf-50_Id:123,221,69332.3,68628,68787,69492,69629,70261,70261
q3_Values:customer_acctbalzipf-100_Id:124,111,68780.8,68208,68395,68546,68878,70676,70676
q3_Values:customer_acctbalzipf-250_Id:125,45,68530.7,67962,68285,68572,68771,69441,69441
q3_Values:customer_acctbalzipf-500_Id:126,23,68972.7,68191,68291,68650,69162,70923,70923
q3_Values:customer_acctbalzipf-1000_Id:127,12,69405.3,68261,68615,69246,69904,71357,71357
q3_Values:customer_acctbalzipf-10000_Id:128,2,69083.8,68287,68631,68839,69890,70211,70211
q3_Values:customer_acctbalBinomial-1_Id:129,450,69878.1,69082,69453,70027,70230,70463,70463
q3_Values:customer_acctbalBinomial-5_Id:130,96,68664.3,67985,68314,68835,68870,69512,69512
q3_Values:customer_acctbalBinomial-10_Id:131,50,68131.8,67792,67886,68025,68491,68711,68711
q3_Values:customer_acctbalBinomial-50_Id:132,11,68241.5,67614,67776,67977,68270,70288,70288
q3_Values:customer_acctbalBinomial-100_Id:133,6,68561.9,67602,67716,68445,68947,70210,70210
q3_Values:customer_acctbalBinomial-250_Id:134,3,68286.1,67996,68231,68257,68354,68617,68617
q3_Values:customer_acctbalBinomial-500_Id:135,2,68429.5,67909,67993,68513,68608,69547,69547
q3_Values:customer_acctbalBinomial-1000_Id:136,2,68584.7,67904,68041,68731,68916,69697,69697
q3_Values:customer_acctbalBinomial-10000_Id:137,1,68478.2,67789,68035,68284,68440,70357,70357
q3b_Values:customer-1-3000-5999_Id:138,3000,48831.8,48344,48548,48816,48971,49712,49712
q3b_Values:customer-5-3000-5999_Id:139,600,47669.5,46740,46926,47027,47195,52425,52425
q3b_Values:customer-10-3000-5999_Id:140,300,46574.0,46341,46454,46486,46640,46942,46942
q3b_Values:customer-50-3000-5999_Id:141,60,49564.1,46331,46425,46709,47604,61455,61455
q3b_Values:customer-100-3000-5999_Id:142,30,47069.9,46298,46489,46705,47315,49566,49566
q3b_Values:customer-250-3000-5999_Id:143,12,47228.8,46348,46432,46707,47022,51006,51006
q3b_Values:customer-500-3000-5999_Id:144,6,47465.4,46488,46676,47176,48219,49393,49393
q3b_Values:customer-1000-3000-5999_Id:145,3,46562.2,46161,46382,46509,46640,47451,47451
q3b_Values:customer-10000-3000-5999_Id:146,1,46798.0,46178,46312,46556,47192,48279,48279
q3b_Values:customer_acctbaluniform-1-3000-5999_Id:147,3000,50006.5,49687,49790,49943,50081,50874,50874
q3b_Values:customer_acctbaluniform-5-3000-5999_Id:148,600,48207.3,47799,48113,48220,48379,48687,48687
q3b_Values:customer_acctbaluniform-10-3000-5999_Id:149,300,48346.7,47651,47800,48421,48570,49958,49958
q3b_Values:customer_acctbaluniform-50-3000-5999_Id:150,60,48878.0,47458,47473,47992,49482,55949,55949
q3b_Values:customer_acctbaluniform-100-3000-5999_Id:151,30,47929.5,47069,47471,47785,47820,50763,50763
q3b_Values:customer_acctbaluniform-250-3000-5999_Id:152,12,47718.8,47145,47603,47794,47867,48217,48217
q3b_Values:customer_acctbaluniform-500-3000-5999_Id:153,6,47538.4,47154,47243,47588,47724,48066,48066
q3b_Values:customer_acctbaluniform-1000-3000-5999_Id:154,3,47766.1,47310,47619,47718,47745,48769,48769
q3b_Values:customer_acctbaluniform-10000-3000-5999_Id:155,1,47946.7,47329,47468,47789,48342,49421,49421
q3b_Values:customer_acctbalzipf-1-3000-5999_Id:156,3000,51293.2,50478,50632,50807,50877,55278,55278
q3b_Values:customer_acctbalzipf-5-3000-5999_Id:157,600,49041.5,48709,48853,49096,49294,49351,49351
q3b_Values:customer_acctbalzipf-10-3000-5999_Id:158,300,48999.0,48311,48732,48973,49037,50597,50597
q3b_Values:customer_acctbalzipf-50-3000-5999_Id:159,60,48334.8,47862,48036,48175,48521,49462,49462
q3b_Values:customer_acctbalzipf-100-3000-5999_Id:160,30,48400.5,47956,48053,48357,48597,49466,49466
q3b_Values:customer_acctbalzipf-250-3000-5999_Id:161,12,48451.7,47945,48305,48441,48539,49307,49307
q3b_Values:customer_acctbalzipf-500-3000-5999_Id:162,6,48242.7,47882,47938,48237,48353,49017,49017
q3b_Values:customer_acctbalzipf-1000-3000-5999_Id:163,3,48969.0,47911,48032,48281,48531,52437,52437
q3b_Values:customer_acctbalzipf-10000-3000-5999_Id:164,1,48194.0,47774,47996,48128,48445,48723,48723
q3b_Values:customer_acctbalBinomial-1-3000-5999_Id:165,450,79256.0,78407,78571,79167,79932,80154,80154
q3b_Values:customer_acctbalBinomial-5-3000-5999_Id:166,96,78647.7,77615,77833,78297,78492,81976,81976
q3b_Values:customer_acctbalBinomial-10-3000-5999_Id:167,50,77788.3,77310,77425,77671,77964,79188,79188
q3b_Values:customer_acctbalBinomial-50-3000-5999_Id:168,11,78336.9,77443,77657,77954,78156,82692,82692
q3b_Values:customer_acctbalBinomial-100-3000-5999_Id:169,6,77745.1,77053,77406,77645,77782,79068,79068
q3b_Values:customer_acctbalBinomial-250-3000-5999_Id:170,3,78433.7,77236,77639,78165,79012,81362,81362
q3b_Values:customer_acctbalBinomial-500-3000-5999_Id:171,2,77801.9,77176,77454,77797,78145,78652,78652
q3b_Values:customer_acctbalBinomial-1000-3000-5999_Id:172,2,77745.2,77191,77330,77601,78216,78661,78661
q3b_Values:customer_acctbalBinomial-10000-3000-5999_Id:173,1,77964.1,77123,77458,77799,78095,80185,80185
q4_Value:customer_Id:174,5,51439.5,50393,50509,50917,52312,53936,53936
q4_Value:customer_numericmktseg_Id:175,5,46319.8,45976,46081,46229,46449,47433,47433
q4_Value:customer_bloatedmktseg_Id:176,500,52758.9,52198,52361,52486,53576,53628,53628
q4_Value:customer_bloatednumericmktseg_Id:177,472,46983.4,46649,46835,47057,47140,47368,47368
q4_Value:customer_bloated2mktseg_Id:178,5000,59200.6,58505,58906,59140,59595,60050,60050
q4_Value:customer_bloated2numericmktseg_Id:179,4605,50648.7,49502,49877,49918,50545,56143,56143
q5_Values:customer-1_Id:180,101101,101711.8,100580,101063,101943,102196,103126,103126
q5_Values:customer-5_Id:181,4221,48159.1,47466,47765,48119,48346,49626,49626
q5_Values:customer-10_Id:182,1111,45839.0,45566,45590,45784,46035,46470,46470
q5_Values:customer-50_Id:183,63,44229.1,43826,43987,44336,44465,44613,44613
q5_Values:customer-100_Id:184,31,43987.8,43722,43803,43902,44059,44989,44989
q5_Values:customer-250_Id:185,13,44425.6,43830,43929,44007,44048,47387,47387
q5_Values:customer-500_Id:186,7,44380.3,43870,44014,44216,44276,45909,45909
q5_Values:customer_uncorrelated-1_Id:187,777384,232091.5,225422,229960,232369,233805,237695,237695
q5_Values:customer_uncorrelated-5_Id:188,40401,70919.6,70302,70506,70856,70994,72038,72038
q5_Values:customer_uncorrelated-10_Id:189,10201,52937.0,52190,52424,52495,52586,55872,55872
q5_Values:customer_uncorrelated-50_Id:190,441,46173.3,45990,46114,46158,46172,46532,46532
q5_Values:customer_uncorrelated-100_Id:191,121,45745.6,44983,45158,45263,45385,50291,50291
q5_Values:customer_uncorrelated-250_Id:192,25,45245.0,44319,44616,44834,44975,48182,48182
q5_Values:customer_uncorrelated-500_Id:193,9,45394.2,44528,44737,44865,44878,50955,50955
q5_Values:customer_fd-1_Id:194,1001,47281.6,46444,46636,46749,46759,51353,51353
q5_Values:customer_fd-5_Id:195,201,45348.9,44776,44809,45043,45105,48078,48078
q5_Values:customer_fd-10_Id:196,201,45669.1,45352,45384,45575,45822,46604,46604
q5_Values:customer_fd-50_Id:197,41,45374.2,44350,44682,44807,45178,48041,48041
q5_Values:customer_fd-100_Id:198,21,44973.3,44597,44754,44835,45199,45614,45614
q5_Values:customer_fd-250_Id:199,9,45399.0,44500,44780,44829,45331,48373,48373
q5_Values:customer_fd-500_Id:200,5,44774.3,44381,44619,44674,44743,45819,45819
q6_Values:customer-500-500_Id:201,729691,1213797.5,1207944,1209582,1213325,1215154,1227562,1227562
q6_Values:customer-500-525_Id:202,706337,1183282.9,1173579,1176775,1184420,1185928,1202803,1202803
q6_Values:customer-500-550_Id:203,673673,1101647.8,1090383,1094469,1100591,1110328,1118608,1118608
q6_Values:customer_uncorrelated-500-500_Id:204,374909,676846.4,666002,672044,677532,681789,688930,688930
q6_Values:customer_uncorrelated-500-525_Id:205,356213,641471.5,635249,639408,641447,644429,647085,647085
q6_Values:customer_uncorrelated-500-550_Id:206,337532,601939.1,543783,602775,604440,615225,617947,617947
q6_Values:customer_fd-500-500_Id:207,750272,655504.3,633899,636774,645202,659785,736740,736740
q6_Values:customer_fd-500-525_Id:208,750272,645449.9,633786,635806,637871,638246,722714,722714
q6_Values:customer_fd-500-550_Id:209,712663,1267335.0,1258856,1259100,1269161,1273375,1277799,1277799
q7_Value:customer_Id:210,25,42458.4,41882,42334,42442,42544,43199,43199
q7_Value:customer_largerNation_Id:211,25001,53428.5,52483,52884,53283,53618,55695,55695
q7_Value:customer_smallerNation_Id:212,2501,44940.8,44166,44282,44479,45217,47200,47200
q8_Value:customer_Id:213,1500000,380968.0,376145,379686,381453,382784,383331,383331
q8_Value:customerNonDistinct_Id:214,750001,215979.1,212227,213165,214911,215961,227952,227952
q8_Value:customerUnique_Id:215,1500000,235594.7,234013,234679,235415,235809,238119,238119
q9_Values:customer-%Cust%omer#000000%_Id:216,999,74545.6,73713,73903,74368,74858,76720,76720
q9_Values:customer-%5%_Id:217,673315,209903.9,199413,209202,210838,211601,215080,215080
q9_Values:customer-%00_Id:218,15000,107317.2,106375,106636,107062,107601,109871,109871
q9_Values:customer_nameShortened-%Cust%omer#000000%_Id:219,0,58704.7,58457,58609,58702,58756,58970,58970
q9_Values:customer_nameShortened-%5%_Id:220,673315,187960.5,181611,186984,188944,190355,191167,191167
q9_Values:customer_nameShortened-%00_Id:221,15000,83204.9,81930,82205,82324,83937,87276,87276
q10_Values:customer-%regular%_Id:222,491657,773158.6,765793,768959,771153,778007,785928,785928
q10_Values:customer-%ace%_Id:223,2158,240809.5,239553,239791,240138,241223,245453,245453
q10_Values:customer_commentShortened-%regular%_Id:224,261691,232770.8,226257,229277,231817,237216,241565,241565
q10_Values:customer_commentShortened-%ace%_Id:225,1096,147139.1,146031,146046,146880,147254,149619,149619
q10_Values:customer_commentFixedSize-%regular%_Id:226,491657,677529.0,660527,667440,682071,685493,687017,687017
q10_Values:customer_commentFixedSize-%ace%_Id:227,2158,357605.5,356699,356756,357827,358418,358947,358947
q10_Values:customerExtendedComment-%regular%_Id:228,491657,700146.4,682285,698309,705026,706946,709377,709377
q10_Values:customerExtendedComment-%ace%_Id:229,2158,275075.8,273740,274022,274793,276366,276528,276528
q10_Values:customerExtendedComment2-%regular%_Id:230,491657,710723.1,700653,702801,709259,719987,725232,725232
q10_Values:customerExtendedComment2-%ace%_Id:231,2158,302221.4,300468,301270,302382,302999,303988,303988
q10_Values:customerExtendedCommentFixedSize-%regular%_Id:232,491657,668268.9,654578,662825,665228,675175,690469,690469
q10_Values:customerExtendedCommentFixedSize-%ace%_Id:233,2158,358812.0,357927,358442,358614,359185,359833,359833
q10_Values:customerExtendedCommentFixedSize2-%regular%_Id:234,491657,678475.1,661219,670568,678155,689392,696830,696830
q10_Values:customerExtendedCommentFixedSize2-%ace%_Id:235,2158,360796.8,359135,359799,361115,361412,363823,363823
q10_Values:customer_ShortenedcommentFixedSize-%regular%_Id:236,261691,422682.7,406813,416348,424381,427671,442936,442936
q10_Values:customer_ShortenedcommentFixedSize-%ace%_Id:237,1096,351900.8,350595,350792,351680,351998,356796,356796
q11_Values:Customer-750_Id:238,749,29258.5,27641,27925,28669,31292,32411,32411
q11_Values:customerClusteredIndex-750_Id:239,749,1235.0,1181,1207,1226,1261,1319,1319
q11_Values:customerNonClusteredIndex-750_Id:240,749,2776.0,2708,2722,2758,2773,2935,2935
q12_Values:CustomerClusteredIndex-7500-15000_Id:241,7499,3164.6,2953,3153,3179,3182,3458,3458
q12_Values:CustomerClusteredIndex_custkeyNonDistinct-7500-15000_Id:242,4749,2610.7,2573,2582,2614,2619,2701,2701
q13_Value:customer_char_Id:243,1442490,1070233.3,1064576,1066936,1069537,1071900,1084770,1084770
q13_Value:customer_charfd_Id:244,1500000,1104788.3,1093440,1094510,1102581,1114059,1128892,1128892
q13_Value:Customer_hexadecimal_Id:245,1498548,1146115.8,1114677,1123500,1125105,1128524,1337243,1337243
q13_Value:Customer_hexadecimalfd_Id:246,1500000,1164947.8,1117110,1120074,1129168,1148226,1343425,1343425
q13b_Value:customer_char_Id:247,1442490,1060708.7,1048827,1052135,1053649,1065661,1100822,1100822
q13b_Value:customer_charfd_Id:248,1500000,1102987.9,1073029,1075643,1083447,1089312,1265335,1265335
q13b_Value:Customer_hexadecimal_Id:249,1498548,1209497.1,1104379,1108076,1110228,1131426,1696912,1696912
q13b_Value:Customer_hexadecimalfd_Id:250,1500000,1119204.5,1091413,1096139,1104911,1125929,1202927,1202927
q16_Values:Customer-%ure_Id:251,299496,472060.7,469185,470226,470966,474286,476437,476437
q16_Values:customer_bloatedMktseg-%ure_Id:252,300884,471525.9,465064,468126,472431,475421,478231,478231
q16_Values:customer_bloated2Mktseg-%ure_Id:253,300473,471254.4,467536,469506,470934,472486,475338,475338
q17_Values:customer-Automobile_Id:254,300036,489450.9,483733,488090,489385,490723,495293,495293
q17_Values:customer_bloatedMktseg-3utomobile_Id:255,3022,33978.9,32224,33058,33419,34778,37083,37083
q17_Values:customer_bloated2mktseg-394omobile_Id:256,331,31945.9,31552,31627,31958,32281,32384,32384
q17_Values:customer_numericmktseg-194734533_Id:257,300036,432888.6,426320,431368,433232,433589,440039,440039
q17_Values:customer_bloated2numericmktseg-194735759_Id:258,331,28222.0,27820,27899,28048,28492,29081,29081
q18_Value:Customer_Id:259,25,35798.7,34501,34638,35299,36591,40091,40091
q18_Value:customerFK_Id:260,25,36119.3,34380,34635,35488,38116,39249,39249
aq19_Values:Customer-10_Id:261,10,35562.7,35224,35367,35421,35613,36405,36405
aq19_Values:customerFK-10_Id:262,10,35787.1,35497,35640,35754,36023,36082,36082
q20_Values:Customer-10_Id:263,600918,554367.8,512843,514674,532859,590936,632947,632947
q20_Values:customerFK-10_Id:264,600918,527974.0,515356,516127,517516,531333,592997,592997
q21_Value:Customer_Id:265,1500000,380503.0,378319,379007,380534,381617,384567,384567
q21_Value:customerClusteredIndex_Id:266,1500000,363846.8,353344,353374,355955,362897,423782,423782
q21_Value:customerUnique_Id:267,1500000,239319.4,235669,235978,236392,242033,250658,250658
q21_Value:customerPK_Id:268,1500000,255096.1,254380,254453,254679,255454,257574,257574
q22_Value:customer_Id:269,750000,659762.3,625068,626875,632296,648617,836628,836628
q22_Value:customerClusteredIndex_Id:270,750000,626890.6,602058,602597,604189,611867,815122,815122
q22_Value:customerNonClusteredIndex_Id:271,750000,661517.8,627866,628320,629837,677656,768695,768695
q23_Values:customer-10000-15000-13_Id:272,208,32483.1,31404,31733,32434,32889,35323,35323
